content,aspect,sentiment,from,to
"even though i made the reservation at 3pm for the same night through dinnerbroker, we were seated at a table with one of the best view!",seated,2,91,97
i also ordered for delivery and the restaurant forgot half the order .,order,0,63,68
the spicy tuna and salmon are the best we've ever had.,salmon,2,19,25
their whitefish salad is excellent--all whitefish with a little mayo.,whitefish salad,2,6,21
i had been a regular due to the consistently good food and ease of getting a table.,food,2,50,54
"i went at 6:00 pm specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites , creme brulee) and it was marvelous.",steak frites,2,101,113
"all i can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",quality,2,117,124
"check it out, it won't hurt your stomach or your wallet .",wallet,2,49,55
our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,wine,1,150,154
fish is so very fresh.,fish,2,0,4
price and quality of fish alone will keep us from making a return visit.,price,0,0,5
"the food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, i thought it was just annoying.",food,1,4,8
the price is reasonable although the service is poor.,service,0,37,44
"while most people can attest to spending over $50 on drinks in new york bars and hardly feeling a thing, the drinks here are plentiful and unique.",drinks,0,53,59
"we could not catch our waiter 's eye, and he ignored us.",waiter,0,23,29
you can actually get 2 salads worth if u take it home and add it to some lettuce!,salads,0,23,29
it is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner .,dinner,2,101,107
the food is great and they have a good selecion of wines at reasonable prices.,food,2,4,8
although we were looking for regular lettuce and some walnuts the salads we got were great.,walnuts,1,54,61
"but when we looked at the menu , there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,0,26,30
"we had reservations at 9pm, but was not seated until 10:15pm.",reservations,0,7,19
definite go if you're used to good indian restaurant food from abroad.,indian restaurant food,2,35,57
i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,edamame pureed,2,16,30
this restaurant is a wonderful place to go many times and it is reasonably priced .,priced,2,75,81
although be warned their dinner menu to sit and take out prices are different.,prices,1,57,63
indoor was very cozy and cute.,indoor,2,0,6
"great for groups, great for a date, great for early brunch or a nightcap .",nightcap,2,64,72
"a few tips: skip the turnip cake , roast pork buns and egg custards.",turnip cake,0,21,32
"the last two times i ordered from here my food was soo spicy that  i could barely eat it, and the spice took away from the flavor of the dish.",food,0,42,46
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,0,71,82
"the bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",mix of greens,2,73,86
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork .,egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork,2,24,104
"the first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",dessert wine,0,90,102
i do suggest to ask to be seated upstairs if you are looking to be a little cozy.,upstairs,2,33,41
"the restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese.",round tables,2,62,74
"if you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",sushi chef,0,70,80
"it was nice and fresh, but i can't give it high scores on being authentic thai .",thai,0,74,78
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,food,0,37,41
although we were looking for regular lettuce and some walnuts the salads we got were great.,salads,2,66,72
"best of all is the warm vibe, the owner is super friendly and service is fast.",owner,2,34,39
"apparently, the good cook works then.",cook,2,21,25
the waitress was very patient with us and the food is phenomenal!,food,2,46,50
"southern indian cuisine is still there, too.",southern indian cuisine,1,0,23
"the ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at joe's.",ingredients,2,4,15
the appetizers are just ok and the main courses were decidedly subpar.,appetizers,1,4,14
"not only is the cuisine the best around, the service has always been attentive and charming.",service,2,45,52
$20 gets you unlimited sushi of a very high quality - i even took a friend here from japan who said it was one of the best sushi places in the us that he has been to.,quality,2,44,51
get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,soup,2,8,12
"considering their price of $6.25 for lunch special , the dish was ridiculously small.",lunch special,0,37,50
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",manager,0,115,122
"service is friendly, and never had a problem walking in and getting a table .",getting a table,2,60,75
"i don't know about you guys, but when i go somewhere to eat i go for the food not for the atmosphere.",food,1,73,77
i went there in late afternoon for some bite size food and refleshment with my date.,refleshment,1,59,70
the prices are about $9 for an entree for dinner and even less for lunch.,dinner,1,42,48
"good spreads, great beverage selections and bagels really tasty.",bagels,2,44,50
i have enjoyed everything i have ever gotten and the fish is so fresh and always prepared in a great way.,fish,2,53,57
"however, they've got the most amazing pastrami and the soups hit the spot.",pastrami,2,38,46
"sake collection was excellent (try nanbu bijin ), but pricy.",nanbu bijin,2,35,46
the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check .,check,1,110,115
"it's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",pepper powder,1,63,76
"during the course of the past 3 months, the chef and staff changed and it was not for the better.",chef,0,44,48
the service is descent even when this small place is packed.,place,0,44,49
the food is great and they have a good selecion of wines at reasonable prices .,prices,2,71,77
"great friendly service, fast seating , fast delivery, excellent sushi.",seating,2,29,36
"(food was delivered by a busboy, not waiter) we got no cheese offered for the pasta, our water and wine glasses remained empty our entire meal, when we would have easily spent another $20 on wine.",water and wine glasses,0,89,111
"my goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",rice,2,45,49
both times we waited well over a half hour for a table (even though we had reservations).,table,0,49,54
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",delivery,2,80,88
"the bread is the soft paratha bread (unlike the plain bread they use in calcutta), and the stuffing is tandoori styled and very flavorful.",bread,2,4,9
"after all that, they complained to me about the small tip .",tip,0,54,57
"the service was poor, restaurant poorly lit, staff not very attentive and i would have rather eaten at a mcdonald's than this joint.",staff,0,45,50
"despite the fact that the space is large, they've overcrowded the floor with tables .",tables,0,77,83
the sushi is average and the prices are anything but.,sushi,1,4,9
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,quality of food,2,45,60
"delicious food, excellent service , and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",service,2,26,33
the hot dogs were cold in the middle and the buns were stale.,buns,0,45,49
make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to time square.,reservation,1,134,145
spreads and toppings are great - though a bit pricey.,toppings,2,12,20
"i must warn the reader that the portions sizes are very small (especially the appetizers ), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",appetizers,0,78,88
the bar is very well stocked with interesting beers and well priced wines .,wines,2,68,73
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",dessert wine,2,101,113
thius is a must for anyone who loves shabu-shabu .,shabu-shabu,2,37,48
"this wasn't the expected menu comprised only of pad thai and tom yum soup, but i thought that was what made the place so special.",pad thai,1,48,56
"my picks are:  - scallion pancake (fried with vegetable juice, very special and tasty)  - guizhou chicken  - shredded squid family style (one of my personal favorites)  - sichuan spicy soft shell crab  - shuizhu fish (this one is for hardcore sichuan food fans, i wouldn't recommend to my american friends as it's very spicy.",scallion pancake,2,17,33
its an excellent place to relax and the food is one of the best in the city of new york.,food,2,40,44
"overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.",sushi,1,56,61
the steak was very fatty and the sauce was overpowering and not very tasty.,steak,0,4,9
"nice atmosphere, the service was very pleasant and the desert was good.",service,2,21,28
"this is the best secret place in midtown', i heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms ) and drinks on the bar last tuesday.",steak with portobello mushrooms,2,110,141
the entire place and the treatment we received felt as a conveyor belt.,place,0,11,16
delicious simple food in nice outdoor atmosphere.,food,2,17,21
nicky the nose at the bar is a treat.,bar,1,22,25
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",beers,2,28,33
"i recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab .",stir fry blue crab,2,83,101
we ended our great experience by having gulab jamun (dessert) recommended by the waiter.,gulab jamun (dessert),2,40,61
the all you can eat deal is truly amazing here.,all you can eat deal,2,4,24
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil .,salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil,2,37,120
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes , i can't wait!",italian dishes,2,76,90
the lava cake dessert was incredible and i recommend it.,lava cake dessert,2,4,21
"the menu looked good, except for offering the chilean sea bass , but the server does not offer up the specials that were written on the board outside.",chilean sea bass,0,46,62
"the waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",waitress,2,4,12
"great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",food,2,6,10
"we started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",cod,1,74,77
"but the best part about ls is the late night atmosphere , delightfully free of the bts.",atmosphere,2,45,55
"though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.",table,0,43,48
but they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,specials,2,97,105
i started out with a bombay beer which was big enough for two.,bombay beer,2,21,32
"the crackling calamari salad , which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.",crackling calamari salad,2,4,28
decor is minimalist and clean - nothing to distract or commend.,decor,1,0,5
"i plan to come here again and look forward to trying their assortment of bruschetta, panini 's.....",panini,2,85,91
"but their best dish is thh thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",dish,2,15,19
"thr at moshphere is compact, modern, yet cozy.",at moshphere,2,4,16
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",good,2,63,67
"the freshest, best variety , and the fastest delivery.",variety,2,19,26
the scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,1,26,41
"we a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",care,2,80,84
"having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,2,79,83
we didn't get drink refills and she didn't even offer us the option of dessert.,drink refills,0,14,27
the food here does a great service to the name ( cantonese that is...).,cantonese,2,49,58
"orsay, is without a doubt one of the best values for authentic french food in nyc.",french food,2,63,74
a++   the service was good to excellent along with the attitude .,attitude,2,55,63
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,0,59,66
your money could easily be better spent elsewhere (anywhere).,money,1,5,10
"spice is great thai food, love the inexpensive appetizers .",appetizers,2,47,57
one of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,menu,2,116,120
what makes this restaurant special are the authentic sichuan cooking and being the only one in nyc that offers authentic chongqing hotpot .,chongqing hotpot,2,121,137
le pere pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,2,25,41
"this is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks !",pre-theatre or after-theatre drinks,2,68,103
"overall i was impressed and will return, it's a great qpr (quality to price ratio).",price,2,70,75
the waiters were not attentive except that the bill turned up on the table before we were finished.,waiters,0,4,11
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,2,0,7
he has visited thailand and is quite expert on the cuisine .,cuisine,2,51,58
"this is the perfect spot for meeting friends, having lunch , dinner, pre-theatre or after-theatre drinks!",lunch,2,53,58
"try the congee and the donut like deep fried dough they call ow ley soh, a delicious and sweet tasting bread .",bread,2,103,108
"if you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.",tables,2,110,116
"otherwise, this place has great service and prices and a nice friendly atmosphere.",prices,2,44,50
"the crust is thin, the ingredients are fresh and the staff is friendly.",ingredients,2,23,34
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",decor,2,4,9
the establishment scores big points in presentation and style.,establishment,2,4,17
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",bread,2,6,11
very affordable and excellent ambient !,ambient,2,30,37
i'm still mad that i had to pay for lousy food .,food,0,42,46
"great bar , most gorgeous bartenders you've ever seen (specifically the blond lady).",bar,2,6,9
the prices are about $9 for an entree for dinner and even less for lunch .,lunch,2,67,72
i could have drank 4 glasses of water and still been parched - so watch out.,glasses of water,1,21,37
food -awesome.,food,2,0,4
"while we thoroughly enjoyed the food , it was annoying to scream across the table for conversation.",food,2,32,36
great place to go for a drink too because they have 100 kinds of beer.,drink,1,24,29
"unlike other places in nyc where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).",portion,2,140,147
the food is usually good but it certainly isn't a relaxing place to go.,place,0,59,64
"not only was the food outstanding, but the little ' perks ' were great.",perks,2,52,57
it is a lot of fun with live entertainment and all kinds of disney type special effects.,live entertainment,2,24,42
it's a nice place to relax and have conversation.,place,2,12,17
"i love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",ingrediants,2,52,63
"meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",bartender,2,15,24
"very excited to hear that short-term chef jason narone has moved on, he truly was a low point of their sterling track record.",chef,0,37,41
the bagel was huge.,bagel,1,4,9
